rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
	24076.921548319333	0.17704672446002404	0.23865047894743627	0.7418662021584264	0.45816840505061435	0.9274486113296998
5S_rRNA	0.20013741452993725	0.40153105833389585	3.160746997927919	0.1270367601700251	0.8989113038290985	NA
A1BG	43.23295403421126	0.20544309628378227	0.45002095766739736	0.4565189526920248	0.6480168451833657	0.9644699479720258
A1CF	0	NA	NA	NA	NA	NA
A2M	17.59130541626179	-0.4477374482785965	2.0469286525822805	-0.21873622596164172	0.8268555279997224	0.9862891739650084
A2ML1	0.13515401703071334	0.9958473795943941	3.160746997927919	0.3150670965588953	0.7527107103058563	NA
A2MP1	0	NA	NA	NA	NA	NA
A3GALT2	0	NA	NA	NA	NA	NA
A4GALT	148.02151761437818	-0.27993207582035995	0.502651089040112	-0.5569113087070644	0.5775880277162292	0.9512569543836868
A4GNT	0	NA	NA	NA	NA	NA
AAAS	232.6561698623783	0.06674468232132845	0.12832176948276258	0.5201353019862638	0.6029692749532494	0.9547230265590431
AACS	327.2504038075184	-0.2368294699421309	0.2993830956996821	-0.7910582572761552	0.42890999646570416	0.9247865592197324
AACSP1	0.29079264899659485	0.9964466614663205	3.160746997927919	0.3152566979007045	0.7525667599049459	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.12378247150370791	0.9958473795943941	3.160746997927919	0.3150670965588953	0.7527107103058563	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	0.3104249324029829	-0.16535906127503813	3.159839769497377	-0.05233147037115148	0.9582645779337	NA
AAGAB	253.94220218111067	-0.11657550707279558	0.19143834701148985	-0.6089454327862479	0.5425606084617127	0.943663678250626
AAK1	554.7101154263239	0.19710506860555915	0.25779988777414287	0.7645661536448839	0.4445299300889828	0.9247865592197324
AAMDC	17.012203926569846	0.22905577395862292	0.39488446970023244	0.5800576916395456	0.5618757135204828	0.948152671180669
AAMP	313.8562648586977	-0.4365095602693839	0.2811727185456287	-1.5524605748638702	0.12055205911506445	0.7669552564154055
AANAT	0.5360957940566466	1.892793237042706	3.1331092645606207	0.6041261498449996	0.5457597751058627	NA
AAR2	162.38804009029235	0.031220780938799847	0.15411039163040618	0.2025871234801271	0.8394577552831393	0.9862891739650084
AARD	4.000091518962321	2.401510528460516	1.0152432609286213	2.3654533064951404	0.01800801396182109	0.509692411364742
AARS1	1543.8146950222426	-0.3320508009967013	0.2149207549586719	-1.5449917857423907	0.12234825026355987	0.7669552564154055
AARS1P1	0	NA	NA	NA	NA	NA
AARS2	215.05920999463945	-0.25235924450924596	0.1473280760104175	-1.712906672937219	0.08672971046026128	0.7247618999066553
AARSD1	132.44659468412593	-0.05092360817914001	0.14942582156357065	-0.34079523636733317	0.7332577368558986	0.9758720276595686
AARSD1P1	0.9212311283177151	-1.5016916493940162	1.5804950038042638	-0.9501400800252027	0.3420410801549092	NA
AASDH	223.16812802824305	0.0015462965960475958	0.1875142567421078	0.008246288164500735	0.9934204885588853	0.9982037564520542
AASDHPPT	480.94612468367245	-0.09110273705568946	0.1314809076557789	-0.6928970804962744	0.48837414198213597	0.935410673710249
AASS	87.34876559452987	0.7627445958967122	0.6918224235881688	1.1025149950195345	0.2702378431227206	0.8630574514714205
AATF	606.7158004101652	0.23489742490842608	0.15651235156614135	1.5008235615778833	0.13340120284534315	0.7853539444983528
AATK	0.8731274978766554	2.319835157797118	1.9597484962913934	1.183741261793107	0.23651550008498184	NA
ABAT	64.25342520501327	-0.34737156781741907	0.47316186787622194	-0.7341495403604473	0.4628576030684305	0.9292411421981507
ABCA1	3.0468472270916536	-0.8648370887467505	0.9854751677807921	-0.8775838468809838	0.38016959842394477	0.9134135973130919
ABCA10	94.90201716911781	-1.3936397358927377	0.5960366745911782	-2.338177825800125	0.01937802530245508	0.5249416911767312
ABCA11P	16.880232900834578	0.4939196130756706	0.4320010381785291	1.1433296900354972	0.2529017324084792	0.8567233256901807
ABCA12	427.0369495000929	1.3219077320373682	1.0832060016377167	1.2203659599732226	0.2223261754456027	0.8477505741792377
ABCA13	2.0232168159244766	-1.1506667920155462	1.2849134454191258	-0.895520858714503	0.37050872056937806	NA
ABCA17P	2.602396651785151	2.935426936808056	1.7636261532654924	1.6644269713129862	0.09602713384683004	0.7289095469307153
ABCA2	21.703466142861426	-0.573338815693398	0.7369291010316926	-0.7780108220597204	0.43656263333573525	0.9247865592197324
ABCA3	67.55993843297344	-0.5340606864135465	0.5314591907530442	-1.0048950054976304	0.314947409665812	0.888153387451075
ABCA3P1	0	NA	NA	NA	NA	NA
ABCA4	2.402730376969057	-4.475466271272833	2.929729880999543	-1.527603722205928	0.1266109570534702	NA
ABCA5	1416.12244382774	0.03878186948877763	0.24871668464284988	0.15592789661243395	0.8760898559351179	0.9874103181602251
ABCA6	286.08767662691616	0.06822729957773108	0.53903388372739	0.1265733039005693	0.8992781273681859	0.9904594728507944
ABCA7	198.0175983576454	-0.013079496387853419	0.3545677507552269	-0.03688856744583843	0.9705738554009807	0.9963169644702962
ABCA8	6.4813240604348685	-0.03077515945157196	1.6570948996368526	-0.018571754374668733	0.9851827356929129	0.9967311874427142
ABCA9	23.979974469699492	0.9904985326771912	0.7782140869891744	1.2727841210242317	0.2030946573649492	0.8446369718253182
ABCB1	29.305530521543492	0.5312784998734181	0.6025029245737683	0.8817857610388583	0.3778926731309067	0.9134135973130919
ABCB10	313.50002203379813	-0.3928869251997067	0.21629014947956665	-1.8164808991304686	0.06929663536542469	0.690534460817741
ABCB10P1	0	NA	NA	NA	NA	NA
ABCB10P3	0	NA	NA	NA	NA	NA
ABCB10P4	0	NA	NA	NA	NA	NA
ABCB11	0.29576567364304296	0.8368166351705145	3.160746997927919	0.2647528054979104	0.7911998955668282	NA
ABCB4	63.78328515852323	0.0692139286886766	0.3648317409511041	0.18971465725059505	0.8495327345747812	0.9866935421346006
ABCB5	0.06875240287083806	-0.15829423995657657	3.160746997927919	-0.05008127511007652	0.9600576213089704	NA
ABCB6	183.5415752254167	0.01559820508842327	0.22784035731933966	0.06846111580908786	0.9454185725109175	0.9934650016613832
ABCB7	405.3214357407215	-0.3543570820629176	0.1905907533513463	-1.8592564215834477	0.06299080079501984	0.6759183542567978
ABCB8	119.33170800995666	-0.08340806089120782	0.2588862161567591	-0.322180385380978	0.7473160431132084	0.9775371853359731
ABCB9	14.526256512174534	0.2955438010273532	0.7721229423565081	0.3827678013625107	0.7018919374250373	0.9722360765416775
ABCC1	768.3040473372314	-0.33468604558979875	0.14365930834839466	-2.329720569015525	0.019820924684675736	0.5298970725451934
ABCC10	157.1377446399012	-0.2199159176338411	0.27887237401230897	-0.7885898286365733	0.4303517776926277	0.9247865592197324
ABCC11	1.414984319683086	0.7606621981637541	1.794550252008362	0.4238734453451291	0.6716581112218356	NA
ABCC12	1.6550080803669769	-1.2041025956946232	1.7508410932650398	-0.687728086989987	0.49162402929536836	NA
ABCC13	0	NA	NA	NA	NA	NA
ABCC2	9.845837195132358	-0.17151954041614373	0.5648012394379497	-0.3036812394158835	0.7613707521860058	0.98049644139297
ABCC3	13.081933201580792	-0.6777542381470387	1.254818808239628	-0.5401211981336596	0.5891134525702025	0.9547230265590431
ABCC4	762.6481521448192	-0.195934373621287	0.20977077131867472	-0.9340403927086293	0.3502830574358165	0.9032188227661667
ABCC5	101.56103150674309	-0.5625038439461937	0.3324257407702028	-1.6921187951417933	0.09062332550915596	0.7262665646617021
ABCC6	0.7555997562687582	0.22304829033332865	2.111850449089336	0.10561746473549331	0.9158858674022486	NA
ABCC6P1	0.2026835906374996	0.5992388096668437	3.160746997927919	0.18958771773244895	0.8496322124836606	NA
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	0.24501338472414402	0.23391585553041558	3.160746997927919	0.07400651038623561	0.941005204929968	NA
ABCC9	35.05019756197083	-2.467805421076041	0.9992783913260483	-2.4695874968348397	0.013526893379437613	0.4722082944418388
ABCD1	41.3127020232667	-0.06675263018957388	0.25598441455533705	-0.26076833742213523	0.7942711629177144	0.9828460028056054
ABCD1P2	0	NA	NA	NA	NA	NA
ABCD1P3	0	NA	NA	NA	NA	NA
ABCD1P4	0	NA	NA	NA	NA	NA
ABCD1P5	0	NA	NA	NA	NA	NA
