rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
A1BG,108.08056771528067,-1.386445003989118,0.47299385566094326,3.0196001306469255e-4,0.002250469798518927
A1CF,2027.7539354608202,-0.9397344452041836,0.2699391521224568,9.788516096792194e-5,8.58613884897194e-4
A2M,47785.65642678442,-2.0973243623747213,0.41258089570536816,2.4724817825995848e-8,5.69302978635501e-7
A2ML1,2.0168580170075936,0.12940220288610613,0.4716172078547758,0.5227322802466261,NA
A2MP1,0.09828255818333517,-0.0037935053559674525,0.5024444477497035,1,NA
A3GALT2,0,NA,NA,NA,NA
A4GALT,75.14621515698467,3.025303151099376,0.4866187149845847,4.201510570288001e-11,1.62158300819925e-9
A4GNT,0,NA,NA,NA,NA
AAAS,1268.9426980936535,-0.16978233480341676,0.3273094871855584,0.49805455232769713,0.7112524730773245
AACS,696.0411992257859,-0.6992298666842403,0.3392609822793038,0.010563927452773892,0.04444202614331421
AACSP1,0.549960096076466,-0.027196091206399847,0.4944204136438148,0.8060890771586355,NA
AADAC,5.968412126322966,-0.675845843779083,0.7061328673965291,0.05275762705583139,0.1552370910464743
AADACL2,0.058261078352246164,-0.030698370940998403,0.5026440924588191,0.7685586889171987,NA
AADACL3,0.06112383956223574,-0.0036621249503347476,0.5024520147762817,1,NA
AADACL4,0,NA,NA,NA,NA
AADACP1,7.54809084830079,-0.2142654855260735,0.4294572147337562,0.4055265986720741,0.6326324976972765
AADAT,196.15931319241787,0.7469358828715265,0.30169320018422324,0.0036472000729773587,0.018810408266930635
AAED1,359.9143587315863,0.600774853457052,0.2136002666980098,0.0020247270653393126,0.011508003411343008
AAGAB,699.4026327238905,0.12507482823185115,0.14111740330514844,0.35659286163166803,0.5863633888262668
AAK1,1454.8260262066785,0.3807420414377319,0.1191464419051967,0.0010239548731780048,0.00646099980312007
AAMDC,191.5219859046703,0.08641184631663344,0.2092245299589924,0.6503606891894169,0.8188866530806624
AAMP,4282.3199535878575,0.06795194102979514,0.25178455425628077,0.7525158473371772,0.8802767112441271
AANAT,1.304461449164317,0.09284930729965353,0.4940742206967143,0.5060058825957441,NA
AAR2,1409.8477193842584,0.02888332403625436,0.32309006472120877,0.9094291485562728,0.9593184419923981
AARD,17.789535992288343,-1.4693972757427516,1.208509239174019,0.009039498986820996,0.039231667624195006
AARS,4132.009807487778,-0.18428806994524843,0.3216949262548908,0.45951105597908826,0.680244220769043
AARS2,614.9506538930168,-0.12258937395185748,0.23244583911503208,0.5501888743614498,0.7497109661566158
AARSD1,258.7450276169608,-0.43090317642925563,0.17909894445912383,0.00972864356461338,0.04153313462796494
AARSP1,0,NA,NA,NA,NA
AASDH,154.50460677256535,0.07993410467706019,0.23357829222145138,0.6999720183121176,0.8496103644207733
AASDHPPT,723.0627527393984,-0.1843427624082791,0.17531851365067233,0.25933878340977606,0.4781485076288069
AASS,206.05656518338344,-1.2370587786796043,0.3651426196941314,8.29307940965661e-5,7.435332811423321e-4
AATF,1860.540752652186,0.4014103319643159,0.1431053667433338,0.0034606407170134942,0.018026023786243166
AATK,98.21589266531096,-3.1952860923473825,0.39666133704549517,4.299887484053212e-17,4.148879530744201e-15
ABAT,2043.4821417256849,-0.6693633737546394,0.1790476735543677,6.756635115436044e-5,6.215950920613976e-4
ABBA01006766.1,1.2233758592229198,-0.018916997174224168,0.4947212962364843,0.8349472314019588,NA
ABBA01006766.2,0,NA,NA,NA,NA
ABCA1,2221.7593054150234,0.4505028029272409,0.27707240344330464,0.05649442630000309,0.16344362847100663
ABCA10,24.847023514860837,0.05597451278003417,0.41404153196886306,0.8170224666306273,0.9150787109847626
ABCA11P,85.77447857369245,-0.006271209965411134,0.2733251878916069,0.9791640218084688,0.9917909066493097
ABCA12,4.811424365289226,-0.7872959128499228,1.1022535862811573,0.034544832037893006,0.11237642531291303
ABCA13,3.637214814482087,-0.15481123870400854,0.4709370205827447,0.4617227210936234,0.6822721339040688
ABCA17P,2.9097980703754764,0.11718481724941471,0.489813681661376,0.4822376981214661,0.6985142602581508
ABCA2,141.35503675113213,-0.2589552030856508,0.29009690818034745,0.2763835803496776,0.49862858513837216
ABCA3,147.49918655598415,1.8933519443657503,0.3973076153679574,1.4467927508434544e-7,2.6990197547250913e-6
ABCA4,41.48828924380189,0.12501083389369608,0.3257586336298471,0.6192794434095058,0.7999069658619432
ABCA5,386.34159961752005,-0.2615396881222554,0.3985234190770914,0.32898588995884037,0.5569747873989617
ABCA6,4.967837395650218,-0.22272414141770003,0.5000889179741426,0.30762814936742644,0.5331607293110213
ABCA7,151.4620548376223,-0.4986143614411052,0.2832920270198348,0.036937059632742866,0.11835291994011891
ABCA8,4.911697263551511,-0.13011664609652535,0.4642101340299084,0.5313091276450232,0.7366795790886859
ABCA9,21.0172010791362,-0.5424728777964946,0.5596470755533068,0.08443489385506804,0.21913058427644141
ABCB1,743.0061865645314,-0.4770822821598261,0.26789009487385707,0.039861803687706227,0.12555825941208892
ABCB10,501.78488574087567,-0.5737776928268593,0.19032887421109734,0.001140066073344367,0.007077928398664185
ABCB10P1,0,NA,NA,NA,NA
ABCB10P3,0,NA,NA,NA,NA
ABCB10P4,0.11559733623421378,-0.03506887714134826,0.5032814115512438,0.7685586889171987,NA
ABCB11,0.1209674066755185,-0.03154934394333213,0.5027523243095506,0.7685571434361247,NA
ABCB4,212.05865471506908,-0.9674065127681258,0.1986021780275832,2.2621448748955366e-7,4.038476698464389e-6
ABCB5,4.146033820632281,-0.24610119128875838,0.49515378534423987,0.29551430015344576,0.5201180027673568
ABCB6,1420.046965842154,-1.1795767465729166,0.44093544219234404,8.273465548680563e-4,0.005392556354809486
ABCB7,391.1630992533105,0.06844280933022456,0.1411614950149262,0.614269511084124,0.7969586455384444
ABCB8,681.1437020132915,-0.01285952335499205,0.35564908887067986,0.9562367191760103,0.9817811856537816
ABCB9,193.21710368304613,-0.18969824591101445,0.32401293117442687,0.4475326394160483,0.6697806630720208
ABCC1,5930.81387065304,1.2190981937096776,0.15985181125388656,3.774715466700585e-15,2.756222419604346e-13
ABCC10,1005.9113246245723,0.30161317122015974,0.277366048952431,0.19174001284533723,0.39144906904570737
ABCC11,26.492446687313585,-0.6703412152701941,0.3812022567429963,0.02189926112430831,0.07964041096169859
ABCC12,0,NA,NA,NA,NA
ABCC13,1.225846383912416,0.0645068920097027,0.476858060289389,0.6956786215304984,NA
ABCC2,2850.0078778192546,-0.3175473769744878,0.18722280924062165,0.06445736392717968,0.17968252265856968
ABCC3,1116.0089354988952,-0.2437248296302051,0.26562154697945084,0.2858683248008258,0.5094465199012078
ABCC4,492.41071932581053,0.3633515591343245,0.1429387843323176,0.007900643075314332,0.035339245102330386
ABCC5,857.4035421070498,0.7755620625355173,0.12450546637805604,1.44638108145258e-10,5.079165691823546e-9
ABCC6,1865.4128428931394,-0.9231625741296569,0.2277221269949502,1.0540162106985864e-5,1.2465354609995336e-4
ABCC6P1,932.2339515667394,-1.1318512967307028,0.3614453910264035,2.2680417024778513e-4,0.0017709516376284186
ABCC6P2,10.872683501159429,-1.3532660780124217,1.1834098959014963,0.011232313638469979,0.04654289470337382
ABCC8,0.16970136034176467,0.04215032784715076,0.5039032651455937,0.712232065405609,NA
ABCC9,25.88379943545399,0.06920080299982223,0.4323608957990656,0.7652878910257953,0.8866145538831032
ABCD1,1801.785675316657,-0.12630190091269555,0.34397753137344594,0.6063729749473141,0.7909313807927699
ABCD1P2,0.23462680217002127,-0.04123564094492355,0.5044853166876349,0.5393196807272304,NA
ABCD1P3,0,NA,NA,NA,NA
ABCD1P4,0.05351372520589371,0.02936471087179215,0.5022318632794924,0.9611293236639173,NA
ABCD1P5,0.16054117561768114,0.041772041206766926,0.5038315316503117,0.7254311871131447,NA
ABCD2,0.2722479991196895,-0.03598829649233149,0.5034411398135197,0.7685548472051418,NA
ABCD3,2648.802852828276,-0.18613900842773629,0.16505944295462022,0.2291253617367296,0.44072920978715246
ABCD4,488.34602887305994,-0.4100984555311594,0.22869987884091444,0.04362253536161043,0.13435597177968275
ABCE1,2592.564891285951,0.196798245187259,0.15869610267746362,0.19080879184759822,0.39023599745767945
ABCF1,4662.8799496516795,-0.09755302241384962,0.10786493152844798,0.35239120149780323,0.5821709515164483
ABCF2,1967.2072075937826,0.23063848569423323,0.2776997779387955,0.3227778602287333,0.5501818206422467
ABCF2P1,0.4596239900457103,-0.03895993071055549,0.4947035006223305,0.6827568164781967,NA
ABCF2P2,0,NA,NA,NA,NA
ABCF3,1271.6610653262057,0.12353840902124902,0.3013612608471033,0.6117773337783244,0.7952276174137496
ABCG1,16.403648616785524,-0.035240503242060295,0.41514403807975225,0.8784640373241579,0.9462357661654993
ABCG2,331.19281158893307,0.35646436722211144,0.2897046905581061,0.13787115785960477,0.30975626734638856
ABCG4,0.19259308820281648,-3.848005952249213e-4,0.49947367555282013,0.9022960636467431,NA
ABCG5,227.15365566298442,-0.11664073139770317,0.3629612973737203,0.6435855821494034,0.8147438991026279
ABCG8,227.0559143214406,-0.6481320634178066,0.30397821747735965,0.010860632835528416,0.04531553623266812
ABHD1,14.545490048988482,-0.1750733245327912,0.3808764735279591,0.49491430345150306,0.7091453070758299
ABHD10,406.6688231213376,-1.3383643712496127,0.126496090432767,4.864458743346899e-27,1.5770575245930645e-24
ABHD11,168.59734105492748,0.21166415870370858,0.24742462058179718,0.32573280647182856,0.5534124903512994
ABHD12,2997.923117748282,0.013766349671112288,0.21594147119705034,0.9455133764363934,0.9772225256339516
ABHD12B,48.935104316131934,1.9807513639065828,0.4222598107681069,1.9774448887268258e-7,3.577497951591724e-6
ABHD13,298.20952786841406,0.331359142518623,0.24523724743574313,0.12264502546343838,0.28607283504928305
ABHD14A,315.89251568434634,-0.5640333146087102,0.32119000670937586,0.030470186361315762,0.10219774899998521
ABHD14A-ACY1,17.369095415994217,-0.07548674562292369,0.461210675305405,0.6967896074839961,0.847017073685302
ABHD14B,1460.6318920702386,0.14056606109649317,0.2803132384125501,0.5456028461536423,0.7471044210297805
ABHD15,242.0952704958915,0.0348331502302948,0.1674433473309649,0.8263007893553711,0.9189938796192497
