rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
A1BG,108.08056771528067,0.49209667003756846,0.4484012094366981,0.0616181903350505,0.2026874678739632
A1CF,2027.7539354608202,0.3421971155366491,0.2635193349503496,0.0992673191215617,0.2818077619217574
A2M,47785.65642678442,0.27110389745325597,0.3400514602971642,0.21983341165056353,0.4690188821751408
A2ML1,2.0168580170075936,0.12205420015882144,0.39356011243805145,0.35164149549068757,NA
A2MP1,0.09828255818333517,0.022353371341008607,0.39232624964984886,0.8639200176954823,NA
A3GALT2,0,NA,NA,NA,NA
A4GALT,75.14621515698467,-0.23259170251929331,0.37740347074291103,0.2572248274548205,0.5163331191949848
A4GNT,0,NA,NA,NA,NA
AAAS,1268.9426980936535,0.09417387895170405,0.299303995606716,0.6362938588151248,0.8263014368249445
AACS,696.0411992257859,-0.19187591441142593,0.29028403115082163,0.34761529155227067,0.6151865696786242
AACSP1,0.549960096076466,0.006913345500416983,0.38795963637199204,0.9798851260940136,NA
AADAC,5.968412126322966,0.6658073167064232,0.7159660077922845,0.0315876739508254,0.126882279062006
AADACL2,0.058261078352246164,-0.013694493377042902,0.39194573602012645,0.8421900158376372,NA
AADACL3,0.06112383956223574,0.020004223027277775,0.39209289297111644,0.8639200176954824,NA
AADACL4,0,NA,NA,NA,NA
AADACP1,7.54809084830079,0.6303440971583991,0.6736723376366092,0.036815764941548104,0.14111763244094677
AADAT,196.15931319241787,0.04007579236510303,0.25225888627144716,0.8379243794502449,0.930580357723151
AAED1,359.9143587315863,0.51351421464062,0.2308634035532501,0.00888855895760836,0.04913723264886134
AAGAB,699.4026327238905,-0.0735617275707723,0.1482027444135592,0.5910223136645105,0.8012090198163676
AAK1,1454.8260262066785,-1.04285862044457,0.13384800483198275,7.881917707074031e-16,1.505052186165786e-13
AAMDC,191.5219859046703,0.3531600409355873,0.2325634017779097,0.06757386993607009,0.2158634448033992
AAMP,4282.3199535878575,0.23735141730615736,0.2662514117824124,0.245688795202555,0.5021988147781882
AANAT,1.304461449164317,-0.058451692588429215,0.392778632497034,0.4007011215775,NA
AAR2,1409.8477193842584,-0.17801778671141408,0.3245140666183246,0.3796518840548843,0.6446823233461998
AARD,17.789535992288343,1.1725370550004282,1.4219371430586814,0.011419961922478267,0.05950276501210864
AARS,4132.009807487778,-0.5301240582555374,0.43003417191048876,0.04134934645306309,0.15321044566019507
AARS2,614.9506538930168,0.5852558179020293,0.27940411054237235,0.009478405420614268,0.05157230757878394
AARSD1,258.7450276169608,0.07489824064662648,0.17659562205796814,0.636432909684277,0.8263014368249445
AARSP1,0,NA,NA,NA,NA
AASDH,154.50460677256535,0.2732687150908918,0.2524361730193336,0.17149855090099125,0.39930069555914377
AASDHPPT,723.0627527393984,-0.056093681397196705,0.17877476555335423,0.7203504485174896,0.8742411576668921
AASS,206.05656518338344,0.45618139801934365,0.3551390249992468,0.06143653731930251,0.20244440641663963
AATF,1860.540752652186,-0.06904946307353114,0.14677156906584507,0.6069901756655236,0.8109566336176139
AATK,98.21589266531096,0.4758592262336022,0.36670579554351196,0.0560214558804643,0.19042807299287332
ABAT,2043.4821417256849,-0.022201607898898693,0.1734110612511735,0.8975769573092602,0.9586468442893102
ABBA01006766.1,1.2233758592229198,0.032958646673256264,0.3905512257200931,0.5532852466725897,NA
ABBA01006766.2,0,NA,NA,NA,NA
ABCA1,2221.7593054150234,0.2606435849676388,0.27074267368498484,0.20670575082782824,0.4500340832612199
ABCA10,24.847023514860837,0.034015149968097486,0.3514412147770536,0.8325223909970634,0.9277444554567039
ABCA11P,85.77447857369245,-0.11255281720644898,0.27166995427430574,0.5653699661162737,0.7842916828169119
ABCA12,4.811424365289226,0.5105946149801559,0.7688180198422103,0.03659251230322678,0.14073192798189635
ABCA13,3.637214814482087,-0.07309147137452299,0.3764851367211339,0.5659640525696632,NA
ABCA17P,2.9097980703754764,-0.12071266172630568,0.41180459778619066,0.1310282366775636,NA
ABCA2,141.35503675113213,-1.762247887465331,0.38109482290813634,2.2227131807511942e-7,6.929421744725559e-6
ABCA3,147.49918655598415,0.1316808763216813,0.29950317214571215,0.5159063403606816,0.7522920912184289
ABCA4,41.48828924380189,-0.19809948945973044,0.33092237686832676,0.33528196774697344,0.6031285138133262
ABCA5,386.34159961752005,1.376182243356048,0.6225037775458808,0.0017095563615713888,0.013552248562202664
ABCA6,4.967837395650218,-0.025551660586471358,0.3674207673427616,0.8416837691027007,0.9327211648032538
ABCA7,151.4620548376223,-0.9285162045416093,0.34045873717123576,6.754041752161587e-4,0.006384575606808194
ABCA8,4.911697263551511,-0.00325723782462906,0.36652180577051896,0.9768723939401931,0.9917427977871212
ABCA9,21.0172010791362,-0.06849098911960731,0.34463994319822544,0.6875496087652321,0.8530708108753805
ABCB1,743.0061865645314,-0.5086389018463123,0.30002737862879475,0.025236015111742303,0.10744296734865535
ABCB10,501.78488574087567,0.4746351988027567,0.20230004274585273,0.006918954439987881,0.04069847825385247
ABCB10P1,0,NA,NA,NA,NA
ABCB10P3,0,NA,NA,NA,NA
ABCB10P4,0.11559733623421378,-0.015780945027402068,0.3921397805951876,0.8421900158376372,NA
ABCB11,0.1209674066755185,0.004164129725789235,0.3907298764590475,0.9899374411569387,NA
ABCB4,212.05865471506908,0.21820691880821388,0.19167170421917362,0.19325058809679385,0.4311517429190335
ABCB5,4.146033820632281,-0.09737901840346136,0.37768218093466566,0.4862354571010349,0.7310637092544354
ABCB6,1420.046965842154,0.0974530357529818,0.30371476221354216,0.6253112259630178,0.8211031839612117
ABCB7,391.1630992533105,0.5103944568482957,0.15712322443674262,4.4356506884710666e-4,0.004572132248116331
ABCB8,681.1437020132915,0.19548178028472182,0.3543875443203211,0.336325058209362,0.6041511746479555
ABCB9,193.21710368304613,-0.1798977020289449,0.31543892783848915,0.37841915810326876,0.6438051113216702
