rowname,baseMean,log2FoldChange,lfcSE,pvalue,padj
A1BG,108.08056771528067,-1.7187469904927137,0.4752045505462529,2.0940167730189817e-5,2.487570029320262e-4
A1CF,2027.7539354608202,-0.03489728117489038,0.23383079597446357,0.8591283097192483,0.9403727402597123
A2M,47785.65642678442,-1.7794006459030904,0.4155546005448623,1.3539620302210017e-6,2.161044424771733e-5
A2ML1,2.0168580170075936,0.038945477666728186,0.4510267631033805,0.8287349457398068,0.9241591490939219
A2MP1,0.09828255818333517,-0.0033917390611962503,0.49071757957010437,1,NA
A3GALT2,0,NA,NA,NA,NA
A4GALT,75.14621515698467,1.4285571447415173,0.5126415690731416,4.75904846042192e-4,0.003671773205776344
A4GNT,0,NA,NA,NA,NA
AAAS,1268.9426980936535,-0.22687422004154692,0.3330882265866911,0.36877378915132847,0.6018775867496975
AACS,696.0411992257859,-1.4637716811117434,0.35087017139225396,2.808749489447158e-6,4.1686219695327435e-5
AACSP1,0.549960096076466,0.09459033704692447,0.49085156355148185,0.3929481875200872,NA
AADAC,5.968412126322966,-0.31359397398754796,0.4823191035503615,0.22602704366150547,0.44849584239443535
AADACL2,0.058261078352246164,-0.028100913205795556,0.49076634330608104,0.8058773268547056,NA
AADACL3,0.06112383956223574,-0.003255107838130001,0.49072465608569227,1,NA
AADACL4,0,NA,NA,NA,NA
AADACP1,7.54809084830079,-0.053084485874248036,0.3905711657212844,0.824032644450551,0.9220516659166096
AADAT,196.15931319241787,0.4394560958601939,0.28559845420092533,0.06496533899061802,0.19046277423929778
AAED1,359.9143587315863,0.8940664694065901,0.21738592749105481,8.706551165043504e-6,1.1349634986401197e-4
AAGAB,699.4026327238905,0.3624898025298578,0.14362704789731429,0.008157843209696342,0.038953133231368994
AAK1,1454.8260262066785,-0.6707538160994706,0.12178496024677082,1.3075766336739565e-8,3.243774045504915e-7
AAMDC,191.5219859046703,0.0838857769930798,0.20909992445748762,0.6572707765079502,0.8271157742205947
AAMP,4282.3199535878575,0.214043151641663,0.25777425617261346,0.3320280656127354,0.567120874923626
AANAT,1.304461449164317,-0.07978554361604981,0.4850396122842612,0.48155540903652067,NA
AAR2,1409.8477193842584,-0.180470298685751,0.33298319928033315,0.4661451551494407,0.6884345868503242
AARD,17.789535992288343,-0.47914358206848223,0.6781349800992067,0.07612506647228602,0.21341255960225325
AARS,4132.009807487778,-0.6723271021272965,0.3932969168655775,0.023041884141139217,0.08732763744274871
AARS2,614.9506538930168,-0.13591859368400053,0.2321678208661361,0.5046313628639854,0.7189766810644495
AARSD1,258.7450276169608,-0.4863572209925691,0.18131162102373724,0.003906002228005556,0.02156415143074758
AARSP1,0,NA,NA,NA,NA
AASDH,154.50460677256535,0.10480702526898655,0.23388248345413878,0.6115466462339546,0.7954634837405782
AASDHPPT,723.0627527393984,-0.3000802603430823,0.17805494818264767,0.06848820763201477,0.19777181933564617
AASS,206.05656518338344,-0.5701906676596199,0.3422286258602157,0.03369153380065637,0.11702943716531945
AATF,1860.540752652186,0.2867685343831498,0.1419052670232504,0.03513964925239012,0.12068754050479719
AATK,98.21589266531096,-3.82579414960636,0.4221007981860159,7.37742047437441e-21,1.1496703797429649e-18
ABAT,2043.4821417256849,-1.3794489081824417,0.18157504172338063,3.4983910934843712e-15,2.7258827329322314e-13
ABBA01006766.1,1.2233758592229198,-0.05472840719322594,0.4895620420119546,0.4937844637992247,NA
ABBA01006766.2,0,NA,NA,NA,NA
ABCA1,2221.7593054150234,-0.12391823202217321,0.25335286479488534,0.565296768547578,0.7632213096719623
ABCA10,24.847023514860837,0.016083379541674835,0.4059004758595541,0.9472763342656618,0.9793276949368859
ABCA11P,85.77447857369245,-0.20345295603331814,0.2832632932559567,0.3815790935448241,0.6140338632161696
ABCA12,4.811424365289226,-0.06804884183668321,0.4329607700928796,0.744693591379771,0.8801693449325088
ABCA13,3.637214814482087,0.024884831278951098,0.4343949613154749,0.9048271150533863,0.9616558004988002
ABCA17P,2.9097980703754764,0.02824371423388924,0.4639693785652593,0.8590322921038934,0.9403276852646834
ABCA2,141.35503675113213,-2.0997972237861418,0.347001776291604,9.742677300595358e-11,3.727878890330483e-9
ABCA3,147.49918655598415,0.8080155538295682,0.39706784850430443,0.008417219997820717,0.03997582936835534
ABCA4,41.48828924380189,-1.069193719427938,0.4584942976053103,0.0024531101262730715,0.01464178752944742
ABCA5,386.34159961752005,0.3259097908147548,0.4144996022086842,0.23168467643551502,0.45581759709142644
ABCA6,4.967837395650218,-0.2386035331644571,0.5043787698522704,0.25983649054720886,0.4892642385774608
ABCA7,151.4620548376223,-1.1400300398954886,0.30522741279394705,2.571336505837896e-5,2.978233133991433e-4
ABCA8,4.911697263551511,-0.26769509340950715,0.5238045288059895,0.21354156361320614,0.4330450116476493
ABCA9,21.0172010791362,-0.267063366325429,0.43620152545723095,0.2999831659823097,0.5324408749952974
ABCB1,743.0061865645314,-0.7297754338008142,0.2802501469015392,0.0025289533558738742,0.015042095220815389
ABCB10,501.78488574087567,0.02787584836423323,0.17817514980112062,0.8684906996188979,0.9454288164645422
ABCB10P1,0,NA,NA,NA,NA
ABCB10P3,0,NA,NA,NA,NA
ABCB10P4,0.11559733623421378,-0.03237145006539833,0.4913271919316884,0.8058773268547056,NA
ABCB11,0.1209674066755185,-0.028791952690330615,0.4908493684848935,0.8058757609966771,NA
ABCB4,212.05865471506908,-1.5029431877564852,0.20441046440888708,1.8853392104112806e-14,1.3636491453531718e-12
ABCB5,4.146033820632281,-0.05407909137866674,0.4283210094128801,0.795847645725981,0.90748919491031
ABCB6,1420.046965842154,-0.5185791998506651,0.39556182309896065,0.06828188343919923,0.19738207209778436
ABCB7,391.1630992533105,0.16901947613864787,0.14204809899753773,0.2132948518658214,0.4326470655169697
ABCB8,681.1437020132915,0.2657684064277782,0.3886874045649959,0.3147084835781478,0.548579705663678
ABCB9,193.21710368304613,-0.45458624135203884,0.36711373711630757,0.09601276598006968,0.2519673659568822
ABCC1,5930.81387065304,0.8874549077517951,0.15964999060459506,6.521494307645347e-9,1.7119671580651845e-7
ABCC10,1005.9113246245723,0.042063037366562486,0.26015235883521853,0.8506593359208476,0.9363437793938914
ABCC11,26.492446687313585,-0.2859461916079435,0.32510249394192176,0.25405429024911425,0.4830835988297633
ABCC12,0,NA,NA,NA,NA
ABCC13,1.225846383912416,0.09006656836933202,0.47226011464460643,0.5720729156490435,NA
ABCC2,2850.0078778192546,-1.1781945144795591,0.19744062997057238,3.4365114811567517e-10,1.1619068996053065e-8
ABCC3,1116.0089354988952,-0.8043086328913656,0.30078837815931464,0.0017030353218777637,0.010744730028571448
ABCC4,492.41071932581053,0.7320638091548506,0.14563216194036913,1.6821868701040785e-7,3.3336470898640593e-6
ABCC5,857.4035421070498,0.34549693201709103,0.1232955373112151,0.003832744920640949,0.021241808415657013
ABCC6,1865.4128428931394,0.08921822350294586,0.20530554880063778,0.633800918925786,0.810550235170533
ABCC6P1,932.2339515667394,-0.1937869966129807,0.2951605844092905,0.4105260316484483,0.6414227134782802
ABCC6P2,10.872683501159429,-0.18658280996124907,0.4603160321596719,0.4043426263687644,0.6355188275099428
ABCC8,0.16970136034176467,-0.003559803424515476,0.4907071972235537,1,NA
ABCC9,25.88379943545399,-0.07090531610723735,0.4264607894569888,0.7400830728766911,0.8776447928710863
ABCD1,1801.785675316657,-0.31358691427918833,0.3752512792620754,0.23531092272683288,0.45957614644905653
ABCD1P2,0.23462680217002127,-0.038583848362889854,0.4924442780481324,0.5721590527842622,NA
ABCD1P3,0,NA,NA,NA,NA
ABCD1P4,0.05351372520589371,-0.00321441442447917,0.4907283088534109,1,NA
ABCD1P5,0.16054117561768114,-0.003557175913263253,0.49070830378985714,1,NA
ABCD2,0.2722479991196895,-0.013372076664413196,0.488479799005554,0.940810958519876,NA
ABCD3,2648.802852828276,0.010060049652662427,0.1630990681468259,0.9692087426818313,0.9888362586827698
ABCD4,488.34602887305994,0.01385512127659311,0.21396232803310655,0.946091163337431,0.9790269555772709
ABCE1,2592.564891285951,0.15178189449294854,0.15789717376117166,0.310412212214492,0.5443566385453525
ABCF1,4662.8799496516795,0.06689634981890476,0.10767945706205015,0.51924388536751,0.7296317005108243
ABCF2,1967.2072075937826,-0.035278594129005914,0.26542066808330095,0.8737329873123123,0.9479449916776999
ABCF2P1,0.4596239900457103,-0.07188131486897568,0.49076578704337376,0.5166485708534897,NA
ABCF2P2,0,NA,NA,NA,NA
ABCF3,1271.6610653262057,0.21703671044213374,0.3086830237321024,0.37447787638802077,0.6078164805113909
ABCG1,16.403648616785524,-0.1082400452297503,0.41914740061258027,0.636293836412865,0.8127256875950779
ABCG2,331.19281158893307,-0.39435487411740777,0.2946931344683651,0.10135179969412766,0.26196811676066595
ABCG4,0.19259308820281648,0.0024049280298130893,0.48794095229345663,0.9408125450335696,NA
ABCG5,227.15365566298442,-0.0662198015432383,0.35410937470396,0.7854799520527199,0.901855146556445
ABCG8,227.0559143214406,-0.46763255122696246,0.2925401093279704,0.0525605360870264,0.1630375757249509
ABHD1,14.545490048988482,-0.059415548304302436,0.361503122827838,0.806119664406788,0.9125754861994952
ABHD10,406.6688231213376,-0.9004006261574983,0.12532721217957588,1.5915407145738066e-13,1.017992198851649e-11
ABHD11,168.59734105492748,0.514992408373936,0.26633849305739693,0.02404299272027774,0.09012573391887185
ABHD12,2997.923117748282,0.21076675001615183,0.2201105195734628,0.2869680297370729,0.5190678448615494
ABHD12B,48.935104316131934,-0.40416977156357586,0.3854280821081431,0.14110360715878323,0.328779053628118
ABHD13,298.20952786841406,0.5600612557418836,0.25759041443105846,0.012290150640408825,0.053868003650700096
ABHD14A,315.89251568434634,-0.6903963062160294,0.3312864048846547,0.010261617347610464,0.04670861512818337
ABHD14A-ACY1,17.369095415994217,0.10862620963992287,0.45945173285364665,0.5698131039093673,0.7659167432929016
ABHD14B,1460.6318920702386,0.2612045361545929,0.2895357208386568,0.26995100064439564,0.5005408386204684
ABHD15,242.0952704958915,-0.09556023059545514,0.1686235336324367,0.5464396808060609,0.7498245470642456
ABHD16A,689.7328585612498,0.07591340016822878,0.302528712281776,0.7522562212541659,0.8836549129540816
ABHD16B,520.9368477737632,0.237352683226911,0.25706150175835624,0.28493039068644826,0.5167883976999917
ABHD17A,1466.0680719455652,0.3350865005914356,0.2062817333152033,0.07382935308091583,0.20866800110352746
ABHD17AP1,2.7778680529768973,-0.2726478199840877,0.5513443619301622,0.1548034347684325,0.35068593614384436
ABHD17AP3,0.670609364994397,0.03744078288609498,0.4840367107302228,0.8170074728926213,NA
ABHD17AP4,0.25649761781636704,0.03553475586952915,0.4914583300675074,0.7534076223868672,NA
ABHD17AP5,0.19697267597545356,-0.037140757365201664,0.4921359424626224,0.6179473140023339,NA
ABHD17AP6,0.6128051088772293,0.05056477749864964,0.4925220671794258,0.6317509344733514,NA
ABHD17AP7,0,NA,NA,NA,NA
ABHD17AP8,0,NA,NA,NA,NA
ABHD17AP9,0,NA,NA,NA,NA
ABHD17B,254.40630545814489,-0.30957542638910784,0.15491889040374404,0.034580062740880255,0.11951037006132446
ABHD17C,244.1677691617974,-0.39373740944408225,0.26556693620232547,0.07931810186160425,0.21912504465940694
ABHD18,223.35674318622162,-0.2415484715868717,0.1986491733118081,0.18186540632539738,0.3913062376339855
ABHD2,349.51804809876285,0.01685991916244304,0.45270620855565213,0.9300819160998696,0.9734682769149693
ABHD3,416.41112791607105,0.6108192996880566,0.17390657034867882,1.7977952689310348e-4,0.0016015014639389465
ABHD4,2642.437731358237,0.6172956859200688,0.3239589968770501,0.01829860233806539,0.07309850805297144
ABHD5,156.7511878528877,0.38748542970423244,0.19290521209344275,0.028887483821917383,0.10429428131324933
ABHD6,219.44992892380614,0.4189260090335408,0.15052984492234342,0.0034267333848402633,0.019335439000306712
ABHD8,357.65405615554414,0.03646677832809842,0.3490689123877943,0.8825113041381191,0.9518646014946668
ABI1,614.4918443915324,0.14788090773699242,0.18800979076354649,0.394624389017207,0.6263274837522689
ABI1P1,0.2195047348010432,-0.029673685809503254,0.49094984891766913,0.8058745866002038,NA
ABI2,1031.99770022481,0.35759875089013704,0.1501200540924728,0.012406436201563406,0.05425283912428569
ABI3,0.26962583098450715,-0.005324750147017822,0.490594116410464,1,NA
ABI3BP,5.2456867502408375,-0.11725364436467382,0.4055339160243255,0.6220817464770166,0.8026282905130001
ABL1,1496.079224501858,-0.36605973871132547,0.27102659213286884,0.10827833589821395,0.27400461086022787
ABL2,882.5456746063071,0.14795366508204616,0.13086866449318385,0.23959058086509216,0.4650205771274241
ABLIM1,3605.2121946087236,-0.09309542749707458,0.12170972032102857,0.4280656504936333,0.6562368666840962
ABLIM2,4.677854705179126,-0.0015011633510176722,0.42651801166805503,0.9941998690617939,0.9982116482110148
ABLIM3,262.33486529734415,0.6397317346616606,0.1936326005586012,3.6871388049389747e-4,0.002959032462278273
ABO,3.676897071636759,-0.3038319197732225,0.5731899098456142,0.12411539806575729,0.30088900489933695
ABR,1318.5606859871589,0.6055498459832918,0.3461104035131672,0.025665044591347125,0.09481685223811905
ABRA,0.3877794956128418,-0.02951066288099192,0.48627651971530556,0.7153690469769713,NA
