seqnames	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
chr3	108107280	108146146	38867	-	2600.931675558048	0.004518282996850396	0.17299043984177692	0.0261186861018619	0.9791626727924623	0.9988521357470168	Gnai3
chrX	77837901	77853623	15723	-	0	NA	NA	NA	NA	NA	Pbsn
chr16	18780447	18811987	31541	-	463.30880714636334	0.04630200809858164	0.18671907367660678	0.24797685199946778	0.8041523169583978	0.9903835752188638	Cdc45
chrX	161082525	161258213	175689	+	4.094342096794669	-0.37726317069085896	1.1677378091195956	-0.3230718126488452	0.7466408568030835	NA	Scml2
chr11	108343354	108414396	71043	+	2.314760891673168	-0.39230804118213575	1.8550705389705835	-0.211478772877195	0.8325136944363967	NA	Apoh
chr11	121237253	121255856	18604	+	239.14931641661903	0.5349917439026406	0.2763344534920482	1.936029825966075	0.05286404810521892	0.5948130618502085	Narf
chr6	17281185	17289115	7931	+	1.1409958417428827	2.823776105953374	2.584248939120199	1.0926873426190595	0.27453109901389516	NA	Cav2
chr13	5861482	5870394	8913	+	2331.1853001682357	0.12332255289916136	0.29457251571105497	0.4186492164806304	0.6754725149610152	0.9850001652251119	Klf6
chr4	120405281	120530186	124906	+	434.4236376976751	0.0024944576033346243	0.20194593705664962	0.012352105913548942	0.9901446960101948	0.9988521357470168	Scmh1
chr9	57521274	57532426	11153	+	1220.1654602196643	-0.24691137922627449	0.19410403417748492	-1.2720569166558566	0.20335289732298345	0.8436446106223913	Cox5a
chr11	85832551	85841948	9398	+	5.8040435760523055	-0.4576176976008625	1.0415839309899415	-0.4393478854516638	0.6604094819043467	0.9850001652251119	Tbx2
chr11	85886422	85916097	29676	+	1.2703576489517496	-1.296102373893649	1.74929253403416	-0.740929460725829	0.45873621147040766	NA	Tbx4
chrY	2106015	2170409	64395	-	0	NA	NA	NA	NA	NA	Zfy2
chr11	95568818	95587735	18918	-	10.44490847698136	-0.31893710460552543	0.7990888427544964	-0.39912596389925104	0.6898003920397706	0.9850001652251119	Ngfr
chr11	103774150	103817957	43808	+	1.0691106765929714	-1.0022046007484988	1.9144697207580328	-0.5234893975506056	0.6006337273161786	NA	Wnt3
chr11	59306928	59333552	26625	+	97.96020889883715	-0.7237541127239862	0.4008231499053143	-1.805669440238063	0.0709699888652241	0.6493846494953417	Wnt9a
chr17	63863062	64139496	276435	+	520.3336300530804	-0.060049289334054734	0.21405029619085647	-0.28053822116887983	0.7790646059675492	0.99019409495233	Fer
chr7	126101715	126200501	98787	-	1977.246130499521	-0.21788545556260785	0.1578835809322701	-1.3800387239511482	0.1675747221767301	0.8167771896763024	Xpo6
chrX	7762560	7775202	12643	+	1221.7674483858864	-0.18707436154896523	0.12093057746886325	-1.5469566545080993	0.12187369813951104	0.7548318881128796	Tfe3
chr11	108920349	108950783	30435	+	32.18803546592706	0.6408385718689781	0.6422667834095791	0.9977762954935656	0.3183878471547803	0.9174028829798209	Axin2
chr5	140705011	140719379	14369	+	143.6128101139382	0.028978715569519416	0.22440663887829154	0.12913484072650908	0.8972509538899833	0.9983920866411431	Brat1
